Brand,Weight,CPU Series,CPU Model,Cache,RAM,Memory,Size,Stock_statu,Price
دل,۲.۸۱ کیلوگرم,,,۲۴ مگابایت,,,15.6 اینچ,0,۵۱٫۸۹۰٫۰۰۰ تومان
دل,2.80 کیلوگرم,,,3MB,2GB,,,0,از ۲٫۸۹۰٫۰۰۰ تومان
ایسوس,1.9,Ryzen 7,,16MB,16GB,1TB,16.0,0,از ۵۳٫۰۷۹٫۰۰۰ تومان
لنوو,1.66 کیلوگرم,11th Gen\Tiger Lake,Core i3-1115G4,,4GB,256GB,15.6 اینچ,0,از ۱۷٫۲۰۰٫۰۰۰ تومان
دل,2.3kg,12900H,Core i9,24 MB,16GB,512GB,15.6 اینچ,0,از ۵۶٫۲۰۰٫۰۰۰ تومان
ایسوس,1.4Kg,5825U,Ryzen 7,16 مگابایت,16GB,1TB,14 اینچ,0,از ۴۸٫۵۰۰٫۰۰۰ تومان
ایسوس,1.8Kg,5800H,Ryzen 7,16 مگابایت,16GB,512GB,15.6 اینچ,0,از ۳۶٫۴۹۰٫۰۰۰ تومان
ایسوس,2.3,Core i7,,24MB,16GB,1TB,15.6,0,از ۱۱۱٫۰۰۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,Core i3,1115G4,6 مگابایت,4 گیگابایت,256 گیگابایت,15.6 اینچ,0,از ۱۳٫۷۷۹٫۰۰۰ تومان
ایسوس,1.7Kg,1215U,Core i3,10مگابایت,8GB,256GB,15.6 اینچ,0,از ۱۹٫۷۰۰٫۰۰۰ تومان
مایکروسافت,2.2 کیلوگرم,Core i7,,12 مگابایت,32 گیگابایت,1 ترابایت,13.5 اینچ,0,از ۵۹٫۰۰۰٫۰۰۰ تومان
لنوو,1.63 کیلوگرم,Core i5,8350U,4 مگابایت,,256 گیگابایت | SSD,14 اینچ,0,۱۴٫۸۵۰٫۰۰۰ تومان
asus,1.8,Core i9,,24MB,16GB,1TB,15.6,0,از ۶۶٫۹۵۰٫۰۰۰ تومان
ایسوس,1.55 کیلوگرم,Core i3,,6 مگابایت,4 گیگابایت,512 گیگابایت,14.0 اینچ,0,از ۱۷٫۷۸۹٫۰۰۰ تومان
,,,,,,,15.6 اینچ,1,۱۰٫۲۰۰٫۰۰۰ تومان
ایسوس,1.6,Core i5,,8MB,8GB,512GB,15.6,0,از ۳۶٫۱۵۰٫۰۰۰ تومان
ایسوس,1.7 کيلوگرم,,,,16GB,,,1,۵۸٫۰۰۰٫۰۰۰ تومان
hp,,Intel,,,,,12.5 اینچ,0,۶٫۶۰۰٫۰۰۰ تومان
lenovo,1.4 گیگاهرتز,,i7 7600U,,,512 گیگابابت,14 اینچ,1,از ۱۶٫۷۰۰٫۰۰۰ تومان
لنوو,1.5,Core i7,,12MB,16GB,512GB,14.0,0,از ۱۳٫۹۴۰٫۰۰۰ تومان
,1.3 کیلوگرم,,,6 مگابایت,,,15.6 اینچ,1,۲۱٫۱۷۰٫۰۰۰ تومان
ایسوس,2.3,Corei5,11400H,12MB,32GB,1TB,,0,از ۴۱٫۱۰۰٫۰۰۰ تومان
لنوو,2.2,Ryzen 7,,16MB,16GB,1TB,15.6,0,از ۴۲٫۰۹۰٫۰۰۰ تومان
ایسوس,1.8,Core i3,,6MB,8GB,,15.6,0,از ۱۶٫۹۹۹٫۰۰۰ تومان
ایسوس,1.3Kg,N4020,Celeron,4 مگابایت,4GB,256GB,14 اینچ,0,از ۱۰٫۹۰۰٫۰۰۰ تومان
لنوو,2.3kg,12650H,Core i7,24 MB,32GB,1TB,15.6 اینچ,0,از ۴۴٫۹۶۰٫۰۰۰ تومان
asus,,,,,,,,1,۴٫۹۹۰٫۰۰۰ تومان
مایکروسافت,1110 گرم,Core i5,i5-1035G1,,,256 SSD,12.4 اینچ,0,از ۳۲٫۳۸۸٫۰۰۰ تومان
,,,,,,,,0,۱۵٫۰۰۰٫۰۰۰ تومان
ایسر,,,,,,,,0,۴٫۹۹۰٫۰۰۰ تومان
hp,2.31 کیلو گرم,Core i5,6200U,3 مگابايت,,,15.6 اینچ,1,از ۹٫۵۰۰٫۰۰۰ تومان
ایسوس,1.88 کیلوگرم,Ryzen 5,,16 مگابایت,8 گیگابایت,512 گیگابایت,16 اینچ,0,از ۲۶٫۹۹۹٫۰۰۰ تومان
ایسوس,1.4Kg,1195G7,Core i7,12 مگابایت,32GB,1TB,14 اینچ,0,از ۳۵٫۳۹۹٫۰۰۰ تومان
ایسوس,2.3 کیلوگرم,Core i5,,12 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۳٫۴۰۰٫۰۰۰ تومان
لنوو,2.3,Core i7,,24MB,16GB,1TB,15.6,0,از ۴۶٫۰۰۰٫۰۰۰ تومان
,2.3 کیلوگرم,,i5-11400H,12 مگابایت,,512 گیگابابت,16 اینچ,0,از ۴۰٫۹۰۰٫۰۰۰ تومان
ایسر,2.49,Core i5,,18MB,,,15.6,0,از ۴۱٫۸۸۹٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i7,1255U,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۰٫۹۵۰٫۰۰۰ تومان
دل,2.3kg,11800H,Core i7,24 MB,8GB,512GB,15.6 اینچ,0,از ۳۹٫۵۰۰٫۰۰۰ تومان
hp,2.59 کیلوگرم,,7820HQ,,,,,1,از ۲۵٫۰۰۰٫۰۰۰ تومان
دل,1.8Kg,1240p,Core i5,12 مگابایت,16GB,512GB,15.6 اینچ,0,از ۳۶٫۰۹۲٫۰۰۰ تومان
ایسوس,2.6,Core i5,,18MB,16GB,512GB,17.3,0,از ۴۶٫۸۷۹٫۰۰۰ تومان
دل,3 کیلوگرم,,,,,,17 اینچ,1,۸٫۷۰۰٫۰۰۰ تومان
ایسوس,2.1,Ryzen 7,,16MB,8GB,512GB,15.6,0,از ۴۷٫۶۶۶٫۰۰۰ تومان
ایسر,2.6,Corei7,12700H,24MB,16GB,512GB,,0,از ۶۲٫۴۰۰٫۰۰۰ تومان
ایسوس,2.0,Core i5,,12MB,16GB,512GB,15.6,0,از ۴۰٫۴۷۹٫۰۰۰ تومان
لنوو,2.4,Ryzen 7,,16MB,16GB,1TB,15.6,0,از ۵۵٫۵۰۰٫۰۰۰ تومان
لنوو,1.85,Ryzen 7,3700U,4MB,12GB,1TB HDD+256GB SSD,,0,از ۲۳٫۲۰۰٫۰۰۰ تومان
مایکروسافت,,1065G7,Core i7,8 مگابایت,16GB,512GB,13 اینچ,0,از ۲۹٫۹۰۰٫۰۰۰ تومان
ایسر,1.7Kg,1215U,Core i3,10مگابایت,4GB,256GB,15.6 اینچ,0,از ۲۱٫۱۰۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,512 گیگابایت,13.6 اینچ,0,از ۷۰٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Corei7,11800H,24MB,16GB,512GB,,0,از ۴۳٫۰۰۰٫۰۰۰ تومان
ایسوس,2.2 کیلوگرم,Core i5,,18 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۴۰٫۲۷۰٫۰۰۰ تومان
hp,,i7,10750H,12 مگابایت,8 گیگابایت,512GB+1TBHDD,15اینچ,0,از ۴۶٫۹۹۰٫۰۰۰ تومان
لنوو,1.85,Celeron,,4MB,4GB,,15.6,0,از ۸٫۷۰۰٫۰۰۰ تومان
لنوو,2.3,Core i5,,18MB,16GB,1TB,15.6,0,از ۳۶٫۶۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,,Ryzen 7 - 5800H,16 مگابایت,,1 ترابایت HDD و 512 گیگابایت SSD,15.6 اینچ,0,از ۳۸٫۸۹۲٫۰۰۰ تومان
ایسوس,1.8,Corei7,1165G7,12MB,8GB,512GB,,0,از ۳۲٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i9,,24MB,16GB,512GB,15.6,0,از ۷۵٫۸۰۰٫۰۰۰ تومان
ایسوس,1.80 کیلوگرم,11th Gen\Tiger Lake,Core i7-1165G7,,16GB,1TB,15.6 اینچ,0,از ۳۱٫۵۰۰٫۰۰۰ تومان
ایسوس,1.8Kg,1215U,Core i3,10مگابایت,8GB,256GB,16 اینچ,0,از ۲۰٫۹۹۹٫۰۰۰ تومان
ایسوس,1.7Kg,1235U,Core i5,12 مگابایت,8GB,512GB,16 اینچ,0,از ۲۶٫۸۹۹٫۰۰۰ تومان
دل,2.3kg,12700H,Core i7,24 MB,16GB,512GB,15.6 اینچ,0,از ۵۳٫۳۵۰٫۰۰۰ تومان
ایسر,2.15 کیلوگرم,Ryzen 7,Ryzen 7-5700U,,16GB,1TB,15.6 اینچ,0,از ۳۷٫۵۸۰٫۰۰۰ تومان
دل,,Ryzen 5,5600H,,,,"16.1اینچ, Full HD",1,۳۰٫۹۰۰٫۰۰۰ تومان
دل,"2.07 کیلوگ, رم",Core i7,i7-7700HQ,"6, مگابایت","16, گیگابایت","512, گیگابایت",15.6 اینچ,0,۲۳٫۰۰۰٫۰۰۰ تومان
لنوو,,,,,,,,0,از ۹٫۲۰۰٫۰۰۰ تومان
لنوو,1.6,Ryzen 5,,8MB,12GB,512GB,15.6,0,از ۱۶٫۹۹۰٫۰۰۰ تومان
دل,1.5 کیلوگرم,Core i7,1185G7,12 مگابایت,16 گیگابایت,256 گیگابایت,15.6 اینچ,0,از ۴۳٫۵۰۰٫۰۰۰ تومان
ایسوس,2.20 کیلوگرم,12th Gen\Alder Lake,Core i7-12700H,,16GB,512GB,15.6 اینچ,0,از ۶۶٫۵۹۳٫۰۰۰ تومان
ایسوس,2.0,Core i7,,24MB,16GB,512GB,15.6,0,از ۴۴٫۹۷۹٫۰۰۰ تومان
ایسوس,1.8,Corei7,1065G7,12MB,16GB,1TB HDD+256GB SSD,,0,از ۲۸٫۸۶۴٫۰۰۰ تومان
لنوو,1.3 کیلوگرم,,,3MB,,256 گیگابایت,14 اینچ,1,از ۹٫۸۰۰٫۰۰۰ تومان
ایسوس,2.9,Ryzen 7,,20MB,16GB,1TB,17.3,0,از ۶۶٫۵۰۰٫۰۰۰ تومان
دل,2.2 کیلوگرم,,6440HQ,6 مگابايت,,,,1,از ۹٫۵۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i5,,12MB,16GB,512GB,15.6,0,از ۳۴٫۴۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,Ryzen 7,Ryzen 7-5800H,,16GB,512GB,15.6 اینچ,0,از ۴۲٫۹۶۹٫۰۰۰ تومان
دل,2.6Kg,12450H,Core i5,12 مگابایت,8GB,512GB,17.3 اینچ,0,از ۴۵٫۶۳۳٫۰۰۰ تومان
لنوو,1.6,Core i5,,8MB,8GB,512GB,15.6,0,از ۲۱٫۵۰۰٫۰۰۰ تومان
asus,1.8,Core i7,,12MB,16GB,512GB,15.6,0,از ۳۷٫۶۰۰٫۰۰۰ تومان
hp,2.2,Core i5,,12MB,8GB,512GB,15.6,0,از ۳۲٫۸۰۰٫۰۰۰ تومان
hp,1.78,خیر,AMD Ryzen™ 5 5625U,14 مگابایت,8 گیگابایت,256 گیگابایت,15.6 اینچ,0,از ۲۷٫۰۰۰٫۰۰۰ تومان
hp,3 کیلوگرم,,,"L3 – 8 MB, ,, 8 مگابايت",,,17.3 اینچ,0,از ۱۸٫۷۰۰٫۰۰۰ تومان
hp,1.3 Kilograms,AMD RYZEN 7,2700U pro,,,,,1,از ۱۱٫۹۰۰٫۰۰۰ تومان
ایسوس,,,,,,,,1,۱۲٫۷۰۰٫۰۰۰ تومان
hp,,,,,,,,1,۲۰٫۲۰۰٫۰۰۰ تومان
hp,1.32 کیلوگرم,Core i7,1165G7,12 مگابایت,8 گیگابایت,512 گیگابایت,13.3 اینچ,0,از ۴۴٫۹۰۰٫۰۰۰ تومان
لنوو,2.49,Ryzen 7,,16MB,32GB,1TB,16.0,0,از ۶۳٫۵۸۴٫۰۰۰ تومان
دل,1.08 کیلوگرم,Celeron,N3350,2 مگابایت Cache,4 گیگابایت,128 گیگابایت,10.1 اینچ,0,از ۶٫۸۰۰٫۰۰۰ تومان
lenovo,2,Corei7,1165G7,12MB,8GB,512GB,,0,از ۲۶٫۰۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,Ryzen 5,Ryzen 5-5600H,,16GB,256GB,15.6 اینچ,0,از ۳۷٫۸۴۰٫۰۰۰ تومان
لنوو,1.7Kg,1215U,Core i3,10مگابایت,4GB,256GB,15.6 اینچ,0,از ۱۴٫۴۷۹٫۰۰۰ تومان
دل,نامشخص,5700U,Ryzen 7,8 مگابایت,16GB,512 گیگابایت,"15.6""اینچ",0,از ۳۰٫۰۰۰٫۰۰۰ تومان
دل,2.2Kg,13620H,Core i7,24 MB,16GB,1TB,15.6 اینچ,0,از ۶۱٫۸۰۰٫۰۰۰ تومان
asus,1.7Kg,1215U,Core i3,10مگابایت,4GB,256GB,15.6 اینچ,0,از ۱۷٫۹۵۰٫۰۰۰ تومان
لنوو,,Core i3,1115G4,,,256 گیگابایت,15.6 اینچ,0,از ۱۴٫۸۹۰٫۰۰۰ تومان
ایسر,2.5,Core i7,,24MB,32GB,1TB,15.6,0,از ۴۴٫۹۷۹٫۰۰۰ تومان
لنوو,2.5kg,13700HX,Core i7,30 مگابایت,16GB,1TB,16 اینچ,0,از ۶۹٫۴۵۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,512 گیگابایت,13.6 اینچ,0,از ۶۹٫۸۰۰٫۰۰۰ تومان
ایسوس,1.7Kg,1235U,Core i5,12 مگابایت,16GB,512GB,16 اینچ,0,از ۲۷٫۶۰۰٫۰۰۰ تومان
ایسوس,1.45 کیلوگرم,Core i7,1195G7,12 مگابایت,16 گیگابایت,512 گیگابایت,14.0 اینچ,0,از ۳۵٫۸۷۹٫۰۰۰ تومان
مک بوک ایر,1/350 کیلوگرم,5650U,I7,1600 MHz,8,,,1,۲۰٫۰۰۰٫۰۰۰ تومان
لنوو,2.8kg,13900HX,Core i9,36 مگابایت,32GB,1TB,16 اینچ,0,از ۱۷۱٫۴۹۹٫۰۰۰ تومان
macbook pro,1.6 کیلوگرم,َApple M2 Pro,Apple M2 pro 12CORE,24MB,32 گیگابایت,1TB,16.2 اینچ,0,از ۱۶۸٫۲۰۰٫۰۰۰ تومان
ایسر,1.9 kg,1065G7,Core i7,8MB,8GB,1 TB,,0,از ۲۶٫۱۹۹٫۰۰۰ تومان
ایسوس,2.0,Core i7,,12MB,8GB,1TB,15.6,0,از ۴۶٫۲۰۰٫۰۰۰ تومان
hp,1.9 کیلوگرم,Core i7,8750H,9 مگابایت,32 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۲۷٫۰۰۰٫۰۰۰ تومان
دل,,Core™ i5,Core™ i5-11260H,,,512 گیگابایت,16.1 اینچ,0,از ۵۲٫۵۰۰٫۰۰۰ تومان
hp,2.2,Core i5,,12MB,8GB,512GB,15.6,0,از ۳۹٫۰۰۰٫۰۰۰ تومان
hp,2Kg,1260P,Core i7,18مگابایت,16GB,1TB,16 اینچ,0,از ۸۷٫۵۹۰٫۰۰۰ تومان
دل,2.75 kg,,i7-12800H,24 مگابایت کش,16GB DDR5 4800MHZ,1 ترابایت PCIe Gen4 NVMe,15.6 اینچ,0,از ۹۰٫۰۰۰٫۰۰۰ تومان
ایسوس,2.5,Ryzen 7,,20MB,16GB,1TB,17.3,0,از ۵۷٫۲۹۹٫۲۲۰ تومان
ایسوس,1.7,Ryzen 7,,16MB,16GB,512GB,14.0,0,از ۵۶٫۱۰۰٫۰۰۰ تومان
hp,"1, 50 کیلو گرم",RYZEN 5,RYZEN 5 PRO 3500U,4 مگابایت,16 گیگابایت,,14 اینچ,1,از ۱۳٫۳۰۰٫۰۰۰ تومان
,1642 گرم,Core i7,8650U,8 مگابایت,,512 گیگابایت,13.5 اینچ,0,از ۳۱٫۲۰۰٫۰۰۰ تومان
لنوو,1.7,Core i5,,3MB,8GB,,14.0,1,از ۸٫۹۰۰٫۰۰۰ تومان
,,,,,,,,0,۱۰٫۶۰۰٫۰۰۰ تومان
ایسوس,,,,16M,,,,0,۳۲٫۲۰۰٫۰۰۰ تومان
ایسوس,2.2Kg,6800H,Ryzen 7,16 مگابایت,8GB,512GB,15.6 اینچ,0,از ۴۳٫۶۹۰٫۰۰۰ تومان
دل,,Core i5,11300H,,,,"15.6 اینچ, Full HD",1,۳۴٫۰۰۰٫۰۰۰ تومان
دل,۱.۲۴ کیلوگرم,Apple M2,,۲۰ مگابایت / ۱۶ مگابایت کش L۲ و ۴ مگابایت کش L۳,۸ گیگابایت,۲۵۶ گیگابایت,۱۳.۶ اینچ,0,از ۶۰٫۳۰۰٫۰۰۰ تومان
ایسوس,1.70 کیلوگرم,Ryzen 6000,Ryzen 7-6800HS,,16GB,1TB,15.6 اینچ,0,از ۷۵٫۶۰۰٫۰۰۰ تومان
ایسوس,1.8,Ryzen 7,5700U Mobile,12MB,16GB,512GB,,0,از ۲۷٫۴۹۰٫۰۰۰ تومان
ایسوس,2.5 کیلوگرم,Ryzen 9,,16 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۶۵٫۰۹۰٫۰۰۰ تومان
ایسوس,2Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,1TB,17.3 اینچ,0,از ۴۶٫۳۳۹٫۰۰۰ تومان
ایسوس,1.5 کیلوگرم,Ryzen 5,5600H,19 مگابایت,8 گیگابایت,1 ترابایت,14.0 اینچ,0,از ۲۹٫۹۰۰٫۰۰۰ تومان
لنوو,2.3,Core i5,,18MB,8GB,512GB,15.6,0,از ۳۳٫۴۶۹٫۰۰۰ تومان
مایکروسافت,1.9 کیلوگرم,,UHD,8 مگابایت,,512GB,13 اینچ,0,از ۲۵٫۶۰۹٫۷۵۲ تومان
,1.25 کیلوگرم,Intel Core i5,,6 مگابایت,,,0.67 در 13.07 در 9.01 اینچ,0,۱۱٫۹۷۰٫۰۰۰ تومان
ایسوس,2.2 کیلوگرم,Core i7,,24 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۵۲٫۹۸۰٫۰۰۰ تومان
ام اس آی,2Kg,12650H,Core i7,24 MB,16GB,1TB,15.6 اینچ,0,از ۵۲٫۴۵۵٫۰۰۰ تومان
,1.1 کیلوگرم,,,,,256 گیگابایت,13.3 اینچ,0,۹٫۸۰۰٫۰۰۰ تومان
دل,2 کیلوگرم,,,8 مگابايت,,,,1,از ۱۶٫۴۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i9,,24MB,32GB,1TB,15.6,0,از ۱۰۱٫۹۷۹٫۰۰۰ تومان
ایسوس,2.3 کیلوگرم,Core i7,i7 12700H,24 مگابایت,16 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۷۴٫۷۷۹٫۰۰۰ تومان
hp,2.4 کیلوگرم,Core i7,11800H,24 مگابایت,32 گیگابایت,1 ترابایت,16 اینچ,0,از ۵۰٫۶۰۰٫۰۰۰ تومان
دل,3.4 کیلوگرم,,6820HQ,L3 – 6 MB,,,17 اینچ,1,از ۱۹٫۴۰۰٫۰۰۰ تومان
ایسوس,3.1,,Core i9 13980HX,,,,18,0,۲۴۱٫۶۶۰٫۰۰۰ تومان
لنوو,2,Corei5,1135G7,8MB,8GB,1TB HDD+256GB SSD,,0,از ۲۲٫۴۹۵٫۰۰۰ تومان
msi,1.86 کیلوگرم,10Gen\Comet Lake,Core i5-10500H,,8GB,512GB,15.6 اینچ,0,از ۳۲٫۰۰۰٫۰۰۰ تومان
لنوو,1.7Kg,1215U,Core i3,10مگابایت,12GB,512GB,15.6 اینچ,0,از ۱۵٫۲۹۰٫۰۰۰ تومان
hp,تقریبا 2.5 کیلوگرم,Core i5,6820 HQ,8 مگابايت,,,15.6 اینچ,1,از ۱۸٫۳۹۰٫۰۰۰ تومان
,2.4,Core i7,,24MB,16GB,1TB,16.1,0,از ۵۶٫۲۵۰٫۰۰۰ تومان
دل,,,,,8 گیگابایت,ssd 240 GB,15.6 اینچ,1,۱۳٫۰۰۰٫۰۰۰ تومان
مایکروسافت,,,,,,,,0,۱۹٫۹۰۰٫۰۰۰ تومان
لنوو,2.4,Ryzen 7,5800H,16MB,32GB,1TB,,0,۶۰٫۸۹۱٫۰۰۰ تومان
دل,,,,,,,,0,۵۴٫۹۸۹٫۰۰۰ تومان
دل,2.1,Core i5,"Core i5-11400H 6 Cores (2.7GHz-4.5GHz, 12MB Intel Smart Cache, 45W)",12 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۷٫۵۰۰٫۰۰۰ تومان
اپل,1.6 کیلوگرم,Apple M1,M1 Pro,24 مگابایت,16 گیگابایت,1 ترابایت,14.2 اینچ,0,از ۹۷٫۰۰۰٫۰۰۰ تومان
ایسوس,1.8,Corei5,1135G7,8MB,16GB,1TB HDD+512GB SSD,,0,از ۲۵٫۳۰۰٫۰۰۰ تومان
ایسوس,2.2,Ryzen 7,,16MB,16GB,512GB,15.6,0,از ۶۵٫۳۳۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,512 گیگابایت,13.6 اینچ,0,از ۷۰٫۳۰۰٫۰۰۰ تومان
hp,2.3 کیلوگرم,Ryzen 7,5800H,16 مگابایت,32 گیگابایت,1 ترابایت,16 اینچ,0,از ۵۳٫۵۰۰٫۰۰۰ تومان
دل,1530 گرم,,,,,,,0,۲۵٫۵۰۰٫۰۰۰ تومان
ایسوس,1.3Kg,1260P,Core i7,18مگابایت,16GB,1TB,14 اینچ,0,از ۷۳٫۱۹۵٫۰۰۰ تومان
hp,,,,,,,,0,۳۵٫۰۰۰٫۰۰۰ تومان
ایسوس,1.65 کیلوگرم,11th Gen\Tiger Lake,Intel Core i7-11370H,,16GB,1TB,15.6 اینچ,0,از ۴۵٫۰۸۱٫۰۰۰ تومان
hp,2.3,Corei7,11800H,24MB,16GB,512GB,,0,از ۵۹٫۲۰۰٫۰۰۰ تومان
دل,1.4Kg,1315U,Core i3,10مگابایت,8GB,512GB,14 اینچ,0,از ۲۵٫۶۴۳٫۰۰۰ تومان
مایکروسافت,1534 گرم,Core i5,8350U,6 مگابایت,,256 گیگابایت,13.5 اینچ,0,از ۲۱٫۰۰۰٫۰۰۰ تومان
macbook pro,1.83 کیلوگرم,Core i7,7820HQ,8 مگابایت,16 گیگابایت,,15.4 اینچ,1,۳۳٫۹۹۰٫۰۰۰ تومان
مایکروسافت,1.280,Corei5,1135G7,8MB,8GB,256GB,,0,از ۴۸٫۸۰۲٫۰۰۰ تومان
مک بوک پرو,,,,,,,,0,۴۹٫۰۰۰٫۰۰۰ تومان
ایسوس,1.80 کیلوگرم,Core i7,Intel® Core i7-1165G7,12 مگابایت,,512 گیگابایت,15.6 اینچ,0,از ۲۸٫۰۰۰٫۰۰۰ تومان
لنوو,1.66 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,8GB,1TB,15.6 اینچ,0,از ۲۴٫۴۹۰٫۰۰۰ تومان
لنوو,1.5 کیلوگرم,Core i5,1135G7,8 مگابایت,8 گیگابایت,256 گیگابایت,14.0 اینچ,0,از ۳۵٫۲۸۶٫۰۰۰ تومان
,,,,12MB,,512 گیگابایت,17 اینچ,1,۹۰٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Ryzen 7,6800H Mobile,20MB,16GB,1TB,,0,از ۵۸٫۵۶۱٫۰۰۰ تومان
لنوو,1.85 کیلوگرم,Ryzen 5,5500U,11 مگابایت,8 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۱۸٫۹۸۰٫۰۰۰ تومان
ایسوس,3.6 کیلوگرم,,,,,,15.6 اینچ,0,۱۵٫۰۰۰٫۰۰۰ تومان
ایسوس,1.8Kg,12500H,Core i5,18مگابایت,8GB,1TB,15.6 اینچ,0,۳۲٫۹۵۰٫۰۰۰ تومان
ایسوس,۱.۱۸ کیلوگرم,Core i9,,۲۴ مگابایت,16 گیگابایت,1 ترابایت,13.4 اینچ,0,از ۹۰٫۶۸۳٫۰۰۰ تومان
hp,2.23 کیلوگرم,Core i5,10300H,8 مگابایت,,256 گیگابایت,15.6 اینچ,0,از ۲۵٫۵۰۰٫۰۰۰ تومان
لنوو,2.5,Ryzen 7,,16MB,16GB,512GB,16.0,0,از ۳۸٫۸۹۹٫۰۰۰ تومان
لنوو,1.75,Corei3,10110U,4MB,8GB,1TB HDD+128GB SSD,,0,از ۱۴٫۷۸۵٫۰۰۰ تومان
مایکروسافت,1.29,Core i7,,12MB,,,13.5,0,از ۷۶٫۴۰۰٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,Core i3,,8 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۱۷٫۰۰۰٫۰۰۰ تومان
lenovo,1.7 کیلوگرم,Ryzen 3,5300U,4 مگابایت,8 گیگابایت,,رده 15 اینچ,0,از ۱۹٫۷۰۰٫۰۰۰ تومان
دل,۱.۶۵ کیلوگرم,,,,16 گیگابایت,,,1,۳۹٫۰۰۰٫۰۰۰ تومان
ایسر,1.7 کیلوگرم,Core i3,1115G4,6 مگابایت,,1 ترابایت,15.6 اینچ,0,از ۱۶٫۵۹۰٫۰۰۰ تومان
اپل,"2 کیلوگ, رم",Core i7,,"12, مگابایت","32, گیگابایت","512, گیگابایت",16 اینچ,0,۸۹٫۰۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۴۰٫۰۰۰٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,Core i7,1165G7,12 مگابایت,8 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۳۱٫۲۰۰٫۰۰۰ تومان
ایسر,1.8Kg,1260P,Core i7,18مگابایت,16GB,1TB,15.6 اینچ,0,از ۳۷٫۹۸۹٫۰۰۰ تومان
ایسوس,1.6,Core i7,,24MB,12GB,512GB,14.5,0,۴۷٫۸۹۰٫۰۰۰ تومان
ایسوس,1.8,Core i7,,12MB,16GB,,15.6,0,از ۲۹٫۱۰۰٫۰۰۰ تومان
ایسوس,2.0,Core i7,,24MB,32GB,1TB,15.6,0,از ۳۴٫۳۷۰٫۰۰۰ تومان
msi,,Core i7,10750H,,16 گیگابایت,,15 اینچ,0,۳۹٫۵۰۰٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i5,1235U,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۲۸٫۰۰۰٫۰۰۰ تومان
لنوو,1.75,Corei3,10110U,4MB,12GB,256GB,,0,از ۱۴٫۶۷۹٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,Core i3,1115G4,4 مگابایت,8 گیگابایت,,15.6 اینچ,0,از ۱۷٫۷۶۹٫۰۰۰ تومان
دل,,Core i7,9750H,,,,"16 اینچ, Retina",1,۷۲٫۰۰۰٫۰۰۰ تومان
ایسوس,1.3,Ryzen 7,,20MB,32GB,1TB,13.4,0,از ۷۲٫۵۷۵٫۰۴۰ تومان
لنوو,1.65 کیلوگرم,Core i5,1155G7,8 مگابایت,16 گیگابایت,,15.6 اینچ,0,از ۲۸٫۲۹۹٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,16GB,512GB,15.6,0,از ۵۹٫۶۰۰٫۰۰۰ تومان
lenovo,1.5 کیلوگرم,Celeron,N4020,4 مگابایت,,,14 اینچ,0,از ۸٫۷۱۰٫۰۰۰ تومان
مک بوک پرو,2 کیلوگرم,Core i9,(9880H),16 مگابایت,16 گیگابایت,یک ترابایت,16 اینچ,0,از ۵۹٫۹۸۰٫۰۰۰ تومان
