Brand,Weight,CPU Series,CPU Model,Cache,RAM,Memory,Size,Stock_statu,Price
مک بوک ایر,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,256 گیگابایت,13.6 اینچ,0,از ۵۶٫۸۹۸٫۰۰۰ تومان
apple,1.6 کیلوگرم,Apple M1,M1 Pro,24 مگابایت,16 گیگابایت,512 گیگابایت,14.2 اینچ,0,از ۸۶٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i5,,12MB,16GB,1TB,15.6,0,از ۳۸٫۸۶۹٫۰۰۰ تومان
ایسوس,2.3kg,6800H,Ryzen 7,16 مگابایت,32GB,1TB,15.6 اینچ,0,از ۶۰٫۸۷۹٫۰۰۰ تومان
ایسوس,1.9,Ryzen 7,,8MB,8GB,256GB,15.6,0,از ۳۰٫۴۰۰٫۰۰۰ تومان
ایسوس,3 کیلوگرم,Raptor Lake,,36 مگابایت,16 گیگابایت,1 ترابایت,18.0 اینچ,0,از ۱۱۱٫۳۸۰٫۰۰۰ تومان
دل,2.15 کیلوگرم,Apple M2,M2 Pro,24 مگابایت,16 گیگابایت,512 گیگابایت,16.2 اینچ,0,از ۱۰۳٫۵۹۰٫۰۰۰ تومان
لنوو,1.7,Core i3,,6MB,8GB,,15.6,0,از ۱۴٫۲۷۹٫۰۰۰ تومان
ایسوس,1.8Kg,1065G7,Core i7,8 مگابایت,16GB,1TB,15.6 اینچ,0,از ۲۷٫۹۸۸٫۰۰۰ تومان
ایسوس,2.3,Core i5,,12MB,16GB,512GB,15.6,0,از ۳۶٫۹۹۰٫۰۰۰ تومان
مایکروسافت,1.9 کیلوگرم,Core i7,8650U,8 مگابایت,16 گیگابایت,512 گیگابایت,15.0 اینچ,0,از ۴۰٫۰۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,11th Gen\Tiger Lake,Core i7-11370H,,16GB,256GB,15.6 اینچ,0,از ۲۹٫۲۲۰٫۰۰۰ تومان
دل,2.1 کیلوگرم,Apple M1,M1 Pro,24 مگابایت,16 گیگابایت,512 گیگابایت,16.2 اینچ,0,از ۹۲٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i5,,8MB,16GB,512GB,15.6,0,از ۳۳٫۴۷۹٫۰۰۰ تومان
ایسر,1.7 KG,1135G7,Core i5,8 مگابایت,8 گیگابایت,1TB,,0,از ۲۱٫۷۵۰٫۰۰۰ تومان
,1.38 کیلوگرم,Core i5,,8 مگابایت,8 گیگابایت,512 گیگابایت,14 اینچ,0,از ۲۲٫۰۹۹٫۰۰۰ تومان
hp,,,,,,,,1,از ۱۹٫۱۵۱٫۵۰۰ تومان
لنوو,2.6 کیلوگرم,Core i7,GeForce RTX 4050,24 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۵۵٫۵۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۱۸٫۰۰۰٫۰۰۰ تومان
دل,۲.۲ کیلوگرم,Core i5,7300u,3MB,,,۱۵.۶ اینچ,1,از ۱۳٫۵۰۰٫۰۰۰ تومان
دل,4.5 KG,,,3 MB,,,,0,۱۹٫۵۰۰٫۰۰۰ تومان
لنوو,2.49,Core i7,,24MB,32GB,1TB,16.0,0,از ۶۹٫۴۷۹٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i7,1255U,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۲۹٫۸۵۰٫۰۰۰ تومان
ایسوس,1.8,Corei7,1065G7,12MB,16GB,512GB,,0,از ۲۸٫۱۰۰٫۰۰۰ تومان
dell,,,,,,,,1,۵٫۴۵۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,256 گیگابایت,13.6 اینچ,0,از ۵۵٫۸۹۹٫۰۰۰ تومان
لنوو,2.49,Core i7,,24MB,32GB,1TB,16.0,0,از ۷۰٫۴۵۰٫۰۰۰ تومان
,,,,,,,,0,۶۶٫۰۴۵٫۰۰۰ تومان
ایسوس,2.2Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,512GB,15.6 اینچ,0,از ۴۶٫۳۹۰٫۰۰۰ تومان
